"Years","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"                        Brazil ($)",,,,,,,,,,,,,,,,,,,,,,,,"1583000000","1788000000","1817000000","3012000000","3499000000","4514000000","4703000000","5143000000","6959000000","7498000000","7679000000","8265000000","8193000000","7742000000","7208000000","6312000000"
"                        Mexico ($)",,,,,,,,,,,,,,,,,,,,,,,,"12526000000","13902000000","14421000000","14870000000","15334000000","15904000000","14021000000","13966000000","14663000000","15444000000","17256000000","19891000000","22875000000","24097000000","25492000000","25328000000"
"                        Venezuela ($)",,,,,,,,,,,,,,,,,,,,,,,,"484000000","432000000","506000000","624000000","642000000","718000000","708000000","620000000","686000000","776000000","658000000","679000000","812000000","785000000","593000000","533000000"
"                        Other South and Central America ($)",,,,,,,,,,,,,,,,,,,,,,,,"5935000000","7100000000","8625000000","9760000000","10561000000","11913000000","10751000000","11629000000","13022000000","14365000000","14925000000","15796000000","16788000000","16145000000","16914000000","19392000000"
"                        Other Western Hemisphere ($)",,,,,,,,,,,,,,,,,,,,,,,,"24759000000","31638000000","28534000000","32237000000","34522000000","44906000000","53232000000","54807000000","51869000000","51304000000","49685000000","49915000000","49829000000","50463000000","50633000000","51987000000"
"                Africa ($)",,,,,,,,,,,,,,,,,,,,,,,,"4018000000","4116000000","4640000000","5147000000","6057000000","7683000000","8011000000","7934000000","9029000000","8903000000","8445000000","8398000000","8293000000","8662000000","9737000000","11019000000"
"                    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        South Africa ($)",,,,,,,,,,,,,,,,,,,,,,,,"1018000000","1051000000","999000000","1352000000","1330000000","1747000000","1503000000","1570000000","1641000000","1768000000","1644000000","1614000000","1606000000","1843000000","1908000000","2028000000"
"                        Other Africa ($)",,,,,,,,,,,,,,,,,,,,,,,,"3000000000","3065000000","3642000000","3795000000","4727000000","5936000000","6508000000","6364000000","7388000000","7135000000","6801000000","6784000000","6687000000","6819000000","7830000000","8992000000"
"                Middle East ($)",,,,,,,,,,,,,,,,,,,,,,,,"11699000000","14746000000","16612000000","17374000000","18007000000","19260000000","19967000000","18049000000","17229000000","15628000000","15606000000","15984000000","16623000000","17258000000","18496000000","21151000000"
"                Asia & Pacific ($)",,,,,,,,,,,,,,,,,,,,,,,,"47996000000","58452000000","66612000000","79457000000","88356000000","91702000000","83130000000","95203000000","104416000000","114406000000","119374000000","125385000000","129531000000","135455000000","144852000000","153352000000"
"                    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        Australia ($)",,,,,,,,,,,,,,,,,,,,,,,,"2733000000","3557000000","4119000000","4540000000","5045000000","5505000000","5445000000","5269000000","6190000000","6862000000","6627000000","6481000000","7189000000","7223000000","7707000000","8075000000"
"                        China ($)",,,,,,,,,,,,,,,,,,,,,,,,"4256000000","6217000000","6857000000","10140000000","11800000000","10924000000","9560000000","10609000000","11781000000","13040000000","13908000000","14017000000","14987000000","16032000000","17419000000","18382000000"
"                        Hong Kong ($)",,,,,,,,,,,,,,,,,,,,,,,,"2916000000","4355000000","5116000000","6488000000","7037000000","7175000000","5693000000","6419000000","6704000000","7044000000","7656000000","8506000000","8910000000","8903000000","9803000000","10426000000"
"                        India ($)",,,,,,,,,,,,,,,,,,,,,,,,"2027000000","2687000000","4752000000","7054000000","9950000000","12654000000","12222000000","14711000000","17376000000","18773000000","20387000000","22431000000","24659000000","25817000000","28136000000","28761000000"
"                        Japan ($)",,,,,,,,,,,,,,,,,,,,,,,,"16476000000","18827000000","20577000000","23896000000","24370000000","24609000000","21353000000","24589000000","24700000000","27275000000","30166000000","31190000000","29294000000","31064000000","33062000000","34525000000"
"                        Korea ($)",,,,,,,,,,,,,,,,,,,,,,,,"6084000000","6624000000","6911000000","8257000000","8920000000","8079000000","7857000000","9334000000","9735000000","10641000000","10643000000","10717000000","11131000000","10903000000","10883000000","12377000000"
"                        Singapore ($)",,,,,,,,,,,,,,,,,,,,,,,,"2065000000","2464000000","3242000000","3164000000","3379000000","4069000000","4068000000","4279000000","5224000000","5558000000","5578000000","6083000000","6723000000","7220000000","7892000000","8634000000"
"                        Taiwan ($)",,,,,,,,,,,,,,,,,,,,,,,,"4529000000","5422000000","6311000000","6798000000","7313000000","6236000000","4758000000","5865000000","6499000000","7234000000","7171000000","7388000000","7650000000","7747000000","8082000000","8440000000"
"                        Other Asia & Pacific ($)",,,,,,,,,,,,,,,,,,,,,,,,"6909000000","8300000000","8728000000","9120000000","10543000000","12450000000","12174000000","14129000000","16206000000","17978000000","17238000000","18572000000","18989000000","20548000000","21867000000","23731000000"
"                International organizations and unallocated ($)",,,,,,,,,,,,,,,,,,,,,,,,"3344000000","5223000000","5086000000","662000000","148000000","1177000000","304000000","1071000000","341000000","1318000000","255000000","1262000000","250000000","1443000000","259000000","1717000000"
"        Income receipts of foreigners from US ($)","50882000000","65328000000","77904000000","76954000000","100908000000","101323000000","111435000000","122574000000","148255000000","172729000000","174999000000","121294000000","151480000000","156098000000","192567000000","230845000000","250229000000","293812000000","315165000000","363461000000","425261000000","366756000000","371449000000","411480000000","498112000000","630799000000","795762000000","911443000000","873308000000","688754000000","706993000000","751562000000","766108000000","806458000000","840726000000","849836000000","898810000000","979031000000","1067300000000"
"            By type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Payments for investment on return and compensation ($)","42533000000","53626000000","61359000000","59643000000","80574000000","79324000000","87304000000","99309000000","122981000000","146560000000","148345000000","131198000000","114845000000","116287000000","152302000000","192771000000","207212000000","248750000000","261978000000","287981000000","338637000000","269447000000","263860000000","289657000000","362179000000","480317000000","653928000000","749977000000","685918000000","498089000000","511948000000","544853000000","560497000000","586842000000","606152000000","606464000000","637151000000","706386000000","816066000000"
"                Transfer payments ($)","8349000000","11702000000","16545000000","17311000000","20334000000","21999000000","24131000000","23265000000","25274000000","26169000000","26654000000","-9904000000","36635000000","39811000000","40265000000","38074000000","43017000000","45062000000","53187000000","75480000000","86624000000","97309000000","107589000000","121823000000","135933000000","150482000000","141834000000","161466000000","187390000000","190665000000","195045000000","206709000000","205611000000","219616000000","234574000000","243372000000","261659000000","272645000000","251237000000"
"            By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Canada ($)",,,,,,,,,,,,,,,,,,,,,,,,"12946000000","19019000000","20459000000","32271000000","31193000000","30086000000","23165000000","30399000000","34881000000","36961000000","43405000000","44840000000","45229000000","45669000000","55102000000","62743000000"
"                Europe ($)",,,,,,,,,,,,,,,,,,,,,,,,"180869000000","212022000000","278366000000","355070000000","398238000000","383231000000","270164000000","277537000000","307573000000","308598000000","320625000000","340596000000","334871000000","363560000000","402326000000","424303000000"
"                    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        Belgium ($)",,,,,,,,,,,,,,,,,,,,,,,,"12179000000","15002000000","17670000000","19791000000","24579000000","26291000000","22977000000","21251000000","21109000000","21249000000","23445000000","24896000000","21840000000","22239000000","31189000000","31415000000"
"                        France ($)",,,,,,,,,,,,,,,,,,,,,,,,"11220000000","14431000000","19170000000","23955000000","16789000000","23303000000","20651000000","20954000000","19774000000","22062000000","20270000000","18806000000","24357000000","20140000000","21477000000","25059000000"
"                        Germany ($)",,,,,,,,,,,,,,,,,,,,,,,,"16995000000","23399000000","23968000000","29290000000","25923000000","40450000000","25058000000","29143000000","29861000000","27701000000","26401000000","32058000000","27629000000","31082000000","31894000000","37398000000"
"                        Italy ($)",,,,,,,,,,,,,,,,,,,,,,,,"2712000000","2926000000","2847000000","3235000000","3549000000","3908000000","2420000000","3093000000","3713000000","4172000000","4100000000","4290000000","2999000000","3187000000","3619000000","4647000000"
"                        Luxembourg ($)",,,,,,,,,,,,,,,,,,,,,,,,"11435000000","15451000000","20733000000","26575000000","34732000000","35396000000","25125000000","25486000000","30711000000","34753000000","38461000000","40817000000","44071000000","51380000000","52473000000","60141000000"
